parameter,quasi_newton,normal_newton,easy_newton
0.0,0.0,0.0,0.0
0.002,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.004,1.0986122886681098,0.6931471805599453,0.6931471805599453
0.006,1.0986122886681098,0.6931471805599453,1.0986122886681098
0.008,1.0986122886681098,1.0986122886681098,1.0986122886681098
0.01,1.0986122886681098,1.0986122886681098,1.0986122886681098
0.012,1.0986122886681098,1.0986122886681098,1.0986122886681098
0.014,1.3862943611198906,1.0986122886681098,1.3862943611198906
0.016,1.3862943611198906,1.0986122886681098,1.3862943611198906
0.018000000000000002,1.3862943611198906,1.0986122886681098,1.3862943611198906
0.02,1.3862943611198906,1.0986122886681098,1.3862943611198906
0.022,1.3862943611198906,1.3862943611198906,1.3862943611198906
0.024,1.3862943611198906,1.3862943611198906,1.3862943611198906
0.026000000000000002,1.6094379124341003,1.3862943611198906,1.3862943611198906
0.028,1.6094379124341003,1.3862943611198906,1.3862943611198906
0.03,1.6094379124341003,1.3862943611198906,1.3862943611198906
0.032,1.6094379124341003,1.3862943611198906,1.3862943611198906
0.034,1.6094379124341003,1.6094379124341003,1.3862943611198906
0.036000000000000004,1.791759469228055,1.6094379124341003,1.3862943611198906
0.038,1.791759469228055,1.3862943611198906,1.3862943611198906
0.04,1.791759469228055,2.0794415416798357,1.6094379124341003
0.042,1.791759469228055,4.795790545596741,1.6094379124341003
0.044,1.9459101490553132,1.6094379124341003,1.6094379124341003
0.046,1.9459101490553132,1.9459101490553132,1.6094379124341003
0.048,1.9459101490553132,5.298317366548036,1.791759469228055
0.05,1.791759469228055,2.0794415416798357,1.791759469228055
0.052000000000000005,1.791759469228055,3.091042453358316,1.791759469228055
0.054,1.791759469228055,2.772588722239781,1.9459101490553132
0.056,1.9459101490553132,2.4849066497880004,1.9459101490553132
0.058,1.9459101490553132,5.298317366548036,2.0794415416798357
0.06,1.9459101490553132,1.9459101490553132,2.1972245773362196
0.062,1.9459101490553132,5.298317366548036,2.1972245773362196
0.064,1.9459101490553132,2.1972245773362196,2.302585092994046
0.066,1.9459101490553132,5.298317366548036,2.3978952727983707
0.068,1.791759469228055,5.298317366548036,2.4849066497880004
0.07,2.0794415416798357,5.298317366548036,2.5649493574615367
0.07200000000000001,2.302585092994046,2.8903717578961645,2.70805020110221
0.074,2.833213344056216,5.298317366548036,2.70805020110221
0.076,4.248495242049359,5.298317366548036,2.70805020110221
0.078,2.8903717578961645,2.4849066497880004,2.6390573296152584
0.08,3.295836866004329,2.6390573296152584,3.2188758248682006
0.082,3.7612001156935624,5.298317366548036,3.58351893845611
0.084,4.060443010546419,5.298317366548036,3.9318256327243257
0.08600000000000001,3.970291913552122,2.4849066497880004,4.394449154672439
0.088,1.9459101490553132,5.298317366548036,5.298317366548036
0.09,2.302585092994046,3.258096538021482,5.298317366548036
0.092,2.1972245773362196,2.302585092994046,5.298317366548036
0.094,2.6390573296152584,5.298317366548036,5.298317366548036
0.096,4.30406509320417,5.298317366548036,5.298317366548036
0.098,3.713572066704308,2.5649493574615367,5.298317366548036
